timestamp,alertType
2024-05-17 11:01:34.687000 UTC,medium
2024-05-17 11:05:50.792000 UTC,high
2024-05-17 11:05:58.197000 UTC,medium
2024-05-17 11:06:00.249000 UTC,high
2024-05-17 11:06:05.543000 UTC,medium
2024-05-17 11:08:13.555000 UTC,high
2024-05-17 11:08:20.128000 UTC,medium
2024-05-17 11:08:44.206000 UTC,high
2024-05-17 11:08:49.038000 UTC,medium
2024-05-17 11:14:24.438000 UTC,high
2024-05-17 11:14:28.751000 UTC,medium
2024-05-17 11:16:10.520000 UTC,high
2024-05-17 11:16:17.531000 UTC,medium
2024-05-17 11:16:18.868000 UTC,high
2024-05-17 11:16:25.348000 UTC,medium
2024-05-17 11:16:55.708000 UTC,high
2024-05-17 11:16:58.709000 UTC,medium
2024-05-17 11:18:40.078000 UTC,high
2024-05-17 11:18:45.224000 UTC,medium
2024-05-17 11:19:10.853000 UTC,high
2024-05-17 11:19:14.249000 UTC,medium
2024-05-17 11:20:27.374000 UTC,high
2024-05-17 11:20:35.778000 UTC,medium
2024-05-17 11:24:14.031000 UTC,high
2024-05-17 11:24:20.855000 UTC,medium
2024-05-17 11:24:35.803000 UTC,high
2024-05-17 11:24:41.281000 UTC,medium
2024-05-17 11:24:48.786000 UTC,high
2024-05-17 11:24:54.153000 UTC,medium
2024-05-17 11:25:59.271000 UTC,high
2024-05-17 11:26:04.275000 UTC,medium
2024-05-17 11:26:35.747000 UTC,high
2024-05-17 11:26:37.770000 UTC,medium
2024-05-17 11:29:04.890000 UTC,high
2024-05-17 11:29:09.549000 UTC,medium
2024-05-17 11:29:40.223000 UTC,high
2024-05-17 11:29:43.951000 UTC,medium
2024-05-17 11:35:15.404000 UTC,high
2024-05-17 11:35:21.018000 UTC,medium
2024-05-17 11:36:58.042000 UTC,high
2024-05-17 11:37:05.004000 UTC,medium
2024-05-17 11:37:10.817000 UTC,high
2024-05-17 11:37:14.768000 UTC,medium
2024-05-17 11:37:28.255000 UTC,high
2024-05-17 11:37:33.965000 UTC,medium
2024-05-17 11:37:42.050000 UTC,high
2024-05-17 11:37:48.104000 UTC,medium
2024-05-17 11:38:59.241000 UTC,high
2024-05-17 11:39:05.097000 UTC,medium
2024-05-17 11:46:15.152000 UTC,high
2024-05-17 11:46:19.892000 UTC,medium
2024-05-17 11:48:25.605000 UTC,high
2024-05-17 11:48:28.951000 UTC,medium
2024-05-17 11:52:34.437000 UTC,high
2024-05-17 11:52:39.504000 UTC,medium
2024-05-17 11:54:24.554000 UTC,high
2024-05-17 11:54:31.400000 UTC,medium
2024-05-17 11:56:19.670000 UTC,high
2024-05-17 11:56:24.887000 UTC,medium
2025-08-01 15:42:28.276238 UTC,normal
2025-08-01 15:42:33.314419 UTC,normal
2025-08-01 15:42:38.354518 UTC,normal
2025-08-01 15:45:38.108868 UTC,normal
2025-08-01 15:45:43.149844 UTC,normal
2025-08-01 15:50:04.892558 UTC,normal
2025-08-01 15:50:09.930162 UTC,normal
2025-08-01 15:50:14.970970 UTC,normal
2025-08-01 15:50:59.901405 UTC,high
2025-08-01 15:51:04.942118 UTC,medium
2025-08-01 15:51:09.980533 UTC,high
2025-08-01 15:51:15.018234 UTC,high
2025-08-01 15:51:20.039707 UTC,high
2025-08-01 15:51:25.080765 UTC,high
2025-08-01 15:51:30.099568 UTC,high
2025-08-01 15:51:35.136379 UTC,high
2025-08-01 16:04:11.176009 UTC,high
2025-08-01 16:04:16.219216 UTC,high
2025-08-01 16:04:21.259781 UTC,high
2025-08-01 16:04:26.293881 UTC,high
2025-08-01 16:04:31.327750 UTC,high
2025-08-01 16:04:36.371108 UTC,high
2025-08-01 16:04:41.409623 UTC,high
2025-08-01 16:04:46.449662 UTC,high
2025-08-01 16:04:51.490704 UTC,high
2025-08-01 16:04:56.531466 UTC,high
2025-08-01 16:05:01.577839 UTC,high
2025-08-01 16:05:06.603976 UTC,high
2025-08-01 16:05:11.645528 UTC,high
2025-08-01 16:05:16.690796 UTC,high
2025-08-01 16:09:35.853459 UTC,medium
2025-08-01 16:09:40.894266 UTC,high
2025-08-01 16:09:45.931684 UTC,high
2025-08-01 16:09:50.971331 UTC,high
2025-08-01 16:09:56.014422 UTC,high
2025-08-01 16:12:56.387199 UTC,high
2025-08-01 16:13:01.429318 UTC,high
2025-08-01 16:13:06.453370 UTC,high
2025-08-01 16:14:14.907061 UTC,medium
2025-08-01 16:14:19.946894 UTC,high
2025-08-01 16:14:24.990276 UTC,high
2025-08-01 16:14:30.029600 UTC,high
2025-08-01 16:15:36.398928 UTC,high
2025-08-01 16:15:41.435248 UTC,high
2025-08-01 16:15:46.469734 UTC,high
2025-08-01 16:15:51.511440 UTC,high
2025-08-01 16:17:53.711340 UTC,high
2025-08-01 16:17:58.751948 UTC,high
2025-08-01 16:18:03.783617 UTC,high
2025-08-01 16:18:53.429048 UTC,high
