timestamp,alertType
2024-05-17 11:01:34.687000 UTC,medium
2024-05-17 11:05:50.792000 UTC,high
2024-05-17 11:05:58.197000 UTC,medium
2024-05-17 11:06:00.249000 UTC,high
2024-05-17 11:06:05.543000 UTC,medium
2024-05-17 11:08:13.555000 UTC,high
2024-05-17 11:08:20.128000 UTC,medium
2024-05-17 11:08:44.206000 UTC,high
2024-05-17 11:08:49.038000 UTC,medium
2024-05-17 11:14:24.438000 UTC,high
2024-05-17 11:14:28.751000 UTC,medium
2024-05-17 11:16:10.520000 UTC,high
2024-05-17 11:16:17.531000 UTC,medium
2024-05-17 11:16:18.868000 UTC,high
2024-05-17 11:16:25.348000 UTC,medium
2024-05-17 11:16:55.708000 UTC,high
2024-05-17 11:16:58.709000 UTC,medium
2024-05-17 11:18:40.078000 UTC,high
2024-05-17 11:18:45.224000 UTC,medium
2024-05-17 11:19:10.853000 UTC,high
2024-05-17 11:19:14.249000 UTC,medium
2024-05-17 11:20:27.374000 UTC,high
2024-05-17 11:20:35.778000 UTC,medium
2024-05-17 11:24:14.031000 UTC,high
2024-05-17 11:24:20.855000 UTC,medium
2024-05-17 11:24:35.803000 UTC,high
2024-05-17 11:24:41.281000 UTC,medium
2024-05-17 11:24:48.786000 UTC,high
2024-05-17 11:24:54.153000 UTC,medium
2024-05-17 11:25:59.271000 UTC,high
2024-05-17 11:26:04.275000 UTC,medium
2024-05-17 11:26:35.747000 UTC,high
2024-05-17 11:26:37.770000 UTC,medium
2024-05-17 11:29:04.890000 UTC,high
2024-05-17 11:29:09.549000 UTC,medium
2024-05-17 11:29:40.223000 UTC,high
2024-05-17 11:29:43.951000 UTC,medium
2024-05-17 11:35:15.404000 UTC,high
2024-05-17 11:35:21.018000 UTC,medium
2024-05-17 11:36:58.042000 UTC,high
2024-05-17 11:37:05.004000 UTC,medium
2024-05-17 11:37:10.817000 UTC,high
2024-05-17 11:37:14.768000 UTC,medium
2024-05-17 11:37:28.255000 UTC,high
2024-05-17 11:37:33.965000 UTC,medium
2024-05-17 11:37:42.050000 UTC,high
2024-05-17 11:37:48.104000 UTC,medium
2024-05-17 11:38:59.241000 UTC,high
2024-05-17 11:39:05.097000 UTC,medium
2024-05-17 11:46:15.152000 UTC,high
2024-05-17 11:46:19.892000 UTC,medium
2024-05-17 11:48:25.605000 UTC,high
2024-05-17 11:48:28.951000 UTC,medium
2024-05-17 11:52:34.437000 UTC,high
2024-05-17 11:52:39.504000 UTC,medium
2024-05-17 11:54:24.554000 UTC,high
2024-05-17 11:54:31.400000 UTC,medium
2024-05-17 11:56:19.670000 UTC,high
2024-05-17 11:56:24.887000 UTC,medium
